user_id,n_days,n_points,points_day,meandist_km,mediandist_km,mindist_km,maxdist_km,meandist_weekday_km,mediandist_weekday_km,meandist_weekend_km,mediandist_weekend_km
256f12e1-597c-5593-4e49-4be97702fb7e,17,2816,165.6470588,317.6948,215.8779,0.2076,1308.7796,366.9574,235.3016,157.591,130.13
e3f28984-388a-2129-45a1-10003df46902,42,6988,166.3809524,435.7898,271.3563,0.0278,2672.7357,351.6998,220.4511,646.015,564.383
02fb5eca-ed6f-a997-7b82-649948dbed5a,36,6040,167.7777778,1119.663,174.871,0.553,24199.441,576.427,195.441,2532.078,165.527
f472b23b-6d32-08c6-05ba-937167ab92ec,35,5942,169.7714286,370.564,46.688,0.599,5459.9,78.4,53.71,1008.018,38.582
fc5f8a39-4e28-1c4e-8732-e43ed486ecb3,35,6254,178.6857143,472.468,107.418,0.007,3394.679,516.1573,213.524,406.934,43.968
15e7df2b-fc10-3dc9-08ad-c9856a7a40ef,42,7564,180.0952381,261.98,150.08,0,1396.16,275.38,140.35,228.45,180.92
75b65653-ca7a-9270-1a64-1397ef59d399,16,2964,185.25,142.82,1.7,0.015,967.1,172.418,1.63,14.57,19.573
0efef17a-07a3-c194-216b-1531127c62e5,41,7670,187.0731707,93.3002,75.9303,0.8475,88.006,76.999,106.0948,66.0785,
f887cc09-3c9d-bad0-9502-1550345d82b2,10,1990,199,55.454,53.3022,0.786,159.2909,48.03,49.56,,
c1089e91-38b8-bb24-1621-80ee8f38e013,65,13210,203.2307692,809.32,0.142,0.002,29626.146,1021.69,0.154,209.697,0.143
46fd53c2-a8e2-8b43-30f8-0ed6f210c713,90,18690,207.6666667,1421.699,182.65,0.219,28981.148,1617.28,196.687,1132.7,940.22
a9536d2e-fe4e-7800-f49f-d09230f332e2,24,5264,219.3333333,250.7573,109.5398,0.1871,2235.3045,279.06,144.59,194.6209,23.6209
6197bcb1-4e65-da99-b600-609785a191b5,28,6386,228.0714286,295.02,292.59,35.98,589.62,279.8,283.91,327.2,305.1
a86d705b-8242-2f59-719a-5784631586ea,33,7656,232,235.2619,69.4793,0.1542,2103.6949,175.57,69.48,372.56,152.84
68574d17-8465-5969-13e9-db314c7a09ce,34,8046,236.6470588,76.5389,59.5209,0.0775,402.3606,86.6768,64.3646,52.508,48.76
8ab956f7-2ca7-6085-856d-cf2c59cf83a0,90,22652,251.6888889,232.5591,127.8282,0.9643,273.1281,226.8106,129.1432,246.709,101.193
91f7d63f-376b-8514-3477-677ec6e09560,37,9432,254.9189189,104.37,50.48,0.06,481.88,68.37,33.06,234.87,274.04
704997fa-0ebb-407b-7afe-b5245d583b46,14,3680,262.8571429,153.2211,19.1736,0.0054,1491.244,181.2722,17.8161,83.094,45.39
d45d7e2f-1053-9826-9fac-f3f07733cca7,57,15066,264.3157895,705.081,377.267,0.063,5580.598,660.857,399.743,818.406,273.96
f93dd6bc-1d7a-f95b-2a4b-283e79ad90b8,8,2126,265.75,135.289,62.026,7.131,455.816,105.728,27.984,224,224
5d5cf742-0a6d-0986-0090-085a337ecaf4,63,16844,267.3650794,110.2711,7.5218,0.1288,1003.5386,87.8458,7.1772,166.3342,46.5079
df828401-3b82-21b0-e2dc-f50c8217e78b,29,8256,284.6896552,368.7,19.529,2.194,9706.017,481.141,17.719,73.54,30.48
e90e06cd-9d25-0c3f-f79e-1e441e140a03,9,2684,298.2222222,10.08669889,2.23916,0.00432,45.65572,8.1664,2.8922,11.62292,0.04576
7485a783-9d03-2fe7-f65e-fa84bf2d71b2,26,7892,303.5384615,60.269,33.895,5.818,288.746,26.379,28.63,136.52,91.49
915a73d1-3e6b-2196-78c3-1b213ed707a9,9,2824,313.7777778,143.76,56.94,12.84,524.77,184.84,57.78,61.6,15.74
87fa27a7-4ac6-19fe-d64e-139b2341fbba,46,14886,323.6086957,503.58,48.795,0,9178.752,475.178,49.044,575.676,48.747
