ID,user_id,prop_0,prop_11,prop_21,prop_22,prop_23,prop_24,prop_31,prop_41,prop_42,prop_43,prop_52,prop_71,prop_81,prop_82,prop_90,prop_95,prop_TOTAL
89,bdfcf0ac-7962-8628-af31-36cce49b0cbf,,0.22,0.13,84.7,7.03,7.42,,,,,,,0.5,,,,100
90,c4ec5cdd-fa9f-7fef-ec11-c7fa6001e6dd,,2.27,1.16,10.86,3.53,5.55,,0.3,0.02,0.41,,0.16,,15.6,53.38,6.76,100
91,eea249d9-acc5-3a6f-d0da-4a7fafae6f46,,0.02,6.66,6.35,22.18,24.16,0.04,38.82,,0.08,0.6,,1.08,,,,99.99
92,a0680eb7-e564-b30c-1885-63de9844c844,,0.36,2.83,26.56,58.08,5.79,0.52,0.99,,0.15,,,0.25,4.45,,0.03,100.01
93,8ccae8e4-d4a3-0937-8aae-cb3bcfa2b058,,,1.06,9.59,42.17,46.85,0.11,0.22,,,,,,,,,100
94,5d0e7e05-7249-111d-b335-608c68a243ea,,0.16,9.41,23.66,13.2,6.37,2.9,24.38,,,,11.5,5.41,,3,,99.99
95,22c5d153-44aa-7608-426a-e3d56672f98b,,,,,,,,96.73,,3.26,,,,,,,99.99
96,27b770e1-77d9-acaf-3f8f-f00332f42a98,,,5.95,86.65,2.43,3.48,,0.25,,1.24,,,,,,,100
97,39d610ee-252f-a6f6-95d0-99e50d817ae3,,,0.8,32.46,40.92,25.25,,0.07,,,,0.17,0.32,,,,99.99
98,3fa772bc-55bf-b9d2-64d9-101fd37c6db7,,,0.2,0.78,97.82,1.2,,,,,,,,,,,100
99,e3a096f5-8a6b-f6d4-b130-572bcb47dbd0,,0.14,10.43,17.15,16.94,7.2,,11.9,1.7,6.83,,0.49,21.55,0.08,5.6,,100.01
100,b262439f-7d97-74f8-f6dc-af8db7dfc903,,2.2,2.3,4.41,17.17,20.08,1.07,1.06,3.68,0.97,,3.29,0.73,1.88,41.09,0.09,100.02
101,0e175746-62cf-2593-0bb7-ee9c67fe07a4,,,2.17,87.9,3.29,6.23,,,,,,,0.41,,,,100
102,cc8dffaa-47db-d201-8182-6c44b8daa18b,,,10.39,40.49,16.98,30.72,,1.35,0.07,,,,,,,,100
103,7bd7ba71-213d-aca7-5e7f-43e85f68e14f,,0.5,3.2,10.88,7.16,5.29,,65.74,7.23,,,,,,,,100
104,1f65a99a-c07a-fe7d-8af8-a3d5a8dffe0b,,,16.67,14.3,67.91,0.64,,,,,,,0.4,0.08,,,100
105,1e1479d0-870f-112a-f47f-fbf6ff9c17a5,,0.15,0.2,67.27,24.33,6.18,1.01,,0.68,,0.03,0.06,0.08,,,,99.99
106,c86709fa-a522-ab40-38d4-a7d6870c0c5d,,0.49,60.53,9.68,15.97,8.62,,2.36,,,,0.14,,2.05,0.16,,100
107,f4696816-72ef-f0cf-d68c-a3ecb1c2bc40,,,0.06,75.62,1.96,22.36,,,,,,,,,,,100
108,af90ead1-8dcd-a5dc-5e15-e9a88cad4e59,,0.51,1.45,48.95,30.99,13.27,0.28,0.31,1.55,0.22,0.06,,0.43,0.06,1.91,,99.99
109,1f8f4ab9-77c7-25a7-ac08-378ef94c02ab,,0.49,1.27,65.21,19.67,4.02,0.24,0.1,7.29,0.79,0.14,0.09,0.16,0.51,,,99.98
110,a3b8b000-ec2e-a151-9760-7801478bbfac,,,26.26,45.36,27.68,0.31,0.24,0.08,,,,,0.08,,,,100.01
111,5676109d-c5d2-ef50-d97a-bb08979fecf9,,,13.57,3.29,7.55,1.81,,0.83,7.73,16.56,0.18,,47.05,1.07,0.37,,100.01
112,cd5f65f7-a421-adeb-5096-2d1eede1450c ,,0.09,10.11,69.74,6.3,12.7,0.07,1,,,,,,,,,100.01
113,7ec8a23b-8be7-a52d-c275-8c98cbbb248d,,,,0.22,89.14,9.87,,,,,,0.76,,,,,99.99
114,3a50a85c-b532-d0b1-3b7d-cbeeb5c8b60b,,2.37,0.15,1.03,44.21,51.13,,1.04,,,,,,,,0.06,99.99
115,e47353ed-78eb-94cb-e868-4a43d5dc8e2f,,,4.3,35.88,0.04,,,56.57,,,,,3.2,,,,99.99
116,5bc52480-3047-d011-3f52-2375b3ae26fd,,0.24,7.77,21.99,45.36,22.41,0.84,0.65,,0.05,,0.04,0.13,0.46,0.06,,100
117,8c4b577a-aec3-e96a-778a-c25915aa792e,,,70.52,2.6,8.62,7.49,1.08,4.11,0.86,1.23,,1.13,1.92,,0.45,,100.01
118,c192c446-afb4-89c5-0833-8c4af84ace43,,,4.64,24.48,51.92,5.15,,,,,7.37,6.25,0.05,,0.05,0.09,100
119,d9315efa-9486-9898-f44e-95f1804de979,,0.06,15.99,2.52,13.1,9.94,0.04,56.36,,0.05,0.25,,1.5,,0.06,0.12,99.99
120,f472b23b-6d32-08c6-05ba-937167ab92ec,,0.02,27.24,11.62,34.07,11.48,,15.3,,,,0.05,,,0.22,,100
121,75b65653-ca7a-9270-1a64-1397ef59d399,,0.14,8.06,84.12,6.25,0.17,,,,,0.3,0.95,,,,,99.99
122,f887cc09-3c9d-bad0-9502-1550345d82b2,,,5.53,73.4,2.23,9.53,,0.15,,8.77,,,0.07,,0.32,,100
123,c1089e91-38b8-bb24-1621-80ee8f38e013,,0.27,0.23,3.13,89.61,6.31,0.32,0.01,0.05,,0.03,0.01,,,0.02,0.02,100.01
124,a9536d2e-fe4e-7800-f49f-d09230f332e2,,,5.83,71.08,11.21,11.09,,0.07,,,,0.23,0.03,0.31,0.09,,99.94
125,5d5cf742-0a6d-0986-0090-085a337ecaf4,,0.3,7.23,80.5,3.51,3.27,0.17,0.62,0.11,0.6,0.03,0.14,2.44,0.12,0.74,0.22,100
126,e90e06cd-9d25-0c3f-f79e-1e441e140a03,,,0.78,94.87,3.61,0.74,,,,,,,,,,,100
127,7485a783-9d03-2fe7-f65e-fa84bf2d71b2,,0.18,0.57,5.4,63.24,29.56,0.13,0.16,,0.15,,0.03,0.49,0.08,0.02,,100.01
128,915a73d1-3e6b-2196-78c3-1b213ed707a9,,,11.1,13.6,70.72,2.84,,0.23,,0.26,,0.82,,0.41,,,99.98
129,58df3c75-4ce0-eead-c3bb-9ea03cfaf7d3,,0,4.89,9.22,3.11,1.42,,0.81,,0.04,,0.58,62.79,17.06,,0.08,100
130,ec4ab567-4b1d-3bd8-746d-8644e96c7dbe,,,0.97,2,52.89,2.54,,0.27,,,0.31,,41,,,,99.98
131,96f0a334-bd0a-3b27-e1c7-30a2997095f9,,,1.44,66.87,17.44,8.74,,1.22,2.47,,0.36,,0.49,0.44,0.34,0.19,100
132,26a4c927-443b-47fa-2120-e6d42287e5b4,,0.13,0.16,0.37,94.7,4.09,,0.28,,,0.03,0.21,,,0.02,,99.99
133,481af689-54cd-996f-6bb0-efcf32f153d2,,,6.03,10.42,18.35,6.6,0.06,4.97,,9.58,,,38.34,5.35,0.22,0.08,100
134,0a0e3c56-dd67-c49f-5ac4-a4b6b00f955d,,0.57,13.12,4.94,6,10.05,1.12,62.57,0.07,0.81,0.01,0.07,0.56,0.12,0.01,,100.02
135,40e9cc78-ef39-2806-e2eb-b1ae2b39c90e,,0.03,38.88,1.84,51.41,7.69,0.03,0.04,,,,0.07,,,0.02,,100.01
136,4909dafd-e40f-0f77-eaf6-032be9c5916e,,1.24,4.72,80.96,3.79,3.47,,4.06,0.06,0.13,,0.06,1.5,,,,99.99
137,048abe08-94d4-2db5-87f9-b915506d99ba,,,54.52,20.19,13.3,9.53,,0.79,0.24,0.1,,0.26,0.57,0.5,,,100
138,7a15d18f-8649-7b30-d159-1793d10cd517,,0.13,2.68,14.38,17.74,20.41,,0.13,,,,,44.21,,0.33,,100.01
139,c2ea2ba7-44b1-58b3-6a35-e8102a1f36cc,15.86,,78.65,1.92,1.26,1.04,,1.16,,,,,0.1,,,,99.99
140,2883f7f2-f78e-c709-ebb6-0a291ad61b70,,,,2.27,36.01,54.05,,6.82,,,,0.85,,,,,100
141,e42baac1-e1d2-dab1-c1f0-717a51132825,,0.05,0.13,78.43,11.65,5.85,0.05,3.71,,0.04,,,,,0.09,,100
142,58061c65-9aed-5b24-07ea-5773d609b6b6,,0.12,3.97,15.8,7.87,47.08,0.38,23.17,0.02,1.07,0.14,0.18,0.13,,0.05,,99.98
143,a4c3bb27-acd4-5211-881a-625b530af350,,,4.46,65.36,4.82,4.09,,17.31,,,,,0.1,3.88,,,100.02
144,647473a1-f00d-02c4-c67d-4e012347bd33,,0.27,0.32,1.47,2.97,68.46,,26.45,,0.04,,0.01,,,,,99.99
145,a1261422-0f44-d7f9-da7b-09249d24cd2e,,0.06,0.9,78.8,11.01,8.19,0.19,0.02,0.02,0.08,0.02,,0.13,0.05,0.07,0.46,100
146,796062c9-1fa4-07f2-35d1-1f0a9376e811,,1.95,10.39,15.09,52.16,12.37,2.46,1.5,0.01,0.45,,2.98,0.24,0.06,0.05,0.29,100
147,a81a9737-26b5-1439-28dd-02e5c1c1d1ba,,0.09,7.25,26.06,10.68,5.46,,42.04,,1.77,0.11,0.15,4.79,0.52,1.04,0.06,100.02
148,9e354d46-cd26-6eb6-bfb2-ca9f43d51286,,0.46,10.51,18.19,4.75,5.4,0.16,10.23,,,,0.12,0.56,,49.52,0.09,99.99
149,0e33ad82-99cc-e2a6-0b6b-4a55eb865706,9.09,,,0.25,1.46,87.34,,,,,1.52,0.35,,,,,100.01
150,479514a4-3e65-dae1-6e44-72255e2cf2db,,0.14,4.2,3.89,80.25,6.65,,3.55,0.33,0.47,,,,,,0.52,100
151,6c363547-77c1-6ef8-1e77-64cff8ec2ed0,,,7.03,0.44,1.12,1.34,,89.5,,,,,0.42,,0.15,,100
